sec: N
4
5
6
7
8
9
sec: γ
1.0
0.1
0.01
sec: TIME
[(0.059622980000000006, 0.1287310784143596), (0.8840319300000001, 0.3293660542275622), (2.22754299, 1.3909318494411118)]
[(0.5017711, 0.3929183288622968), (1.90036235, 0.5166089196655806), (4.277122100000001, 1.4660977156688242)]
[(1.0245505000000001, 0.4922254936434384), (4.38850032, 1.9207472265561818), (7.45478112, 2.777224853592315)]
[(1.2429930300000003, 0.9903704152521744), (5.900291470000001, 2.5288231562499117), (12.25424349, 5.550093159888617)]
[(2.72848279, 1.6850436349644826), (13.12305666, 6.32446386763681), (14.709358029999999, 8.685580461322532)]
[(5.87030255, 3.962968392537134), (25.53315664, 6.781395224560251), (59.893064530000004, 26.622624432930706)]
sec: NITER
[(11.6, 7.7201036262475125), (40.1, 6.5226102477799826), (54.1, 13.42013412749664)]
[(28.0, 12.927146286443545), (52.6, 5.521674464226309), (69.8, 8.916900308465443)]
[(39.7, 10.76052456383465), (68.0, 11.633285577743433), (82.3, 12.101882314563943)]
[(40.2, 14.860835926839526), (74.3, 12.57908316743845), (87.4, 28.379178595896285)]
[(52.0, 20.0), (95.7, 14.719978864719126), (95.8, 24.7736419069408)]
[(65.0, 26.369173922088144), (114.8, 9.174844836714012), (143.4, 13.882042757141727)]
